eval_loss,eval_accuracy,training loss,AUROC,AUPRC,RP80,model,epoch,batch_size,MAX_GRAD_NORM,GRADIENT_ACCUMULATION_STEPS,MAX_SEQ_LENGTH,LEARNING_RATE,eval_type
0.6668207628950888,0.597506061655698,0.6753756969947732,0.6563128039861578,0.6263753792128572,0,readmission,0,16,1,1,512,5e-05,val
0.7486063996072632,0.5945618288881191,0.6076039291688876,0.6421495760545124,0.5974350874900496,0.006968641114982578,readmission,1,16,1,1,512,5e-05,val
0.8269825742389616,0.5822653273294077,0.5033919277340373,0.6349312054797779,0.6145276556767635,0.017421602787456445,readmission,2,16,1,1,512,5e-05,val
0.6706298058144531,0.5848189671016357,0.5033919277340373,0.6508909267128904,0.6509989352465336,0.034220532319391636,readmission,0,16,1,1,512,5e-05,test_3days
0.6632363423118441,0.5996546620621608,0.5033919277340373,0.6640071394320421,0.6754692549945798,0.072992700729927,readmission,0,16,1,1,512,5e-05,test_2days
0.7122396931299189,0.5881537928645653,0.6382371855069355,0.6487376770403491,0.641871875537902,0.017421602787456445,readmission,0,16,1,1,512,2e-05,val
0.9255404368207599,0.5774160027710427,0.5047052677975122,0.6501884862827175,0.6153336965064115,0.059233449477351915,readmission,1,16,1,1,512,2e-05,val
1.1131674656387192,0.5730862487010738,0.3897288357701846,0.6418998465947605,0.6124137205177126,0.05574912891986063,readmission,2,16,1,1,512,2e-05,val
0.6863750797091869,0.5984194081970226,0.3897288357701846,0.6907626929098635,0.6785367006908836,0.019011406844106463,readmission,0,16,1,1,512,2e-05,test_3days
0.6872564132992677,0.6016280217069561,0.3897288357701846,0.6977596036016835,0.6867637048673167,0.0072992700729927005,readmission,0,16,1,1,512,2e-05,test_2days
0.695724925283569,0.48285417388292345,0.6963315892969588,0.494595140978226,0.5073146928169894,0.027874564459930314,readmission,0,16,3,1,512,5e-05,val
0.6928478426696187,0.5171458261170766,0.698060952555862,0.516898360109881,0.5201931671531645,0.003484320557491289,readmission,1,16,3,1,512,5e-05,val
0.6929802963746845,0.5171458261170766,0.6968600873447646,0.5174513324850459,0.5216803782540523,0.003484320557491289,readmission,2,16,3,1,512,5e-05,val
0.6928168238952146,0.5337254181216688,0.6968600873447646,0.48764631327816294,0.5418289900710272,0.0038022813688212928,readmission,0,16,3,1,512,5e-05,test_3days
0.6926963517046351,0.5419338924518994,0.6968600873447646,0.5056609302573393,0.5510591499426857,0,readmission,0,16,3,1,512,5e-05,test_2days
0.7057031202052838,0.5853827502597853,0.6402899053102357,0.6284620232842991,0.6353213961358251,0.04529616724738676,readmission,0,16,3,1,512,2e-05,val
0.8760835632105559,0.5860755109109802,0.5182340426627332,0.6508901071458302,0.6255562466762924,0.0313588850174216,readmission,1,16,3,1,512,2e-05,val
1.0189639930896337,0.5810529961898164,0.40915474854160344,0.643647952813024,0.6272105645196993,0.04878048780487805,readmission,2,16,3,1,512,2e-05,val
0.7874920364708928,0.6274581878331189,0.40915474854160344,0.6926116454186236,0.6860230723197969,0.07224334600760456,readmission,0,16,3,1,512,2e-05,test_3days
0.7719279054816314,0.6388751850024667,0.40915474854160344,0.7050189141669774,0.7027965396863547,0.0948905109489051,readmission,0,16,3,1,512,2e-05,test_2days
0.6928675533658233,0.5171458261170766,0.34772079759561864,0.5577648024164299,0.5800904862531826,0.003484320557491289,readmission,0,16,1,2,512,5e-05,val
0.6924862598187357,0.5171458261170766,0.3467414938056818,0.6212495986490825,0.6258202426046902,0,readmission,1,16,1,2,512,5e-05,val
0.6950289172362227,0.48285417388292345,0.34711218636405017,0.5664934416287117,0.5795457938218094,0.006968641114982578,readmission,2,16,1,2,512,5e-05,val
0.6916399657377723,0.5337254181216688,0.34711218636405017,0.5852978453738911,0.6134646859847405,0.045627376425855515,readmission,0,16,1,2,512,5e-05,test_3days
0.690975085018188,0.5419338924518994,0.34711218636405017,0.6026160157706857,0.6374509676090223,0.06934306569343066,readmission,0,16,1,2,512,5e-05,test_2days
0.7164832580814046,0.6011430550744717,0.31647128819172354,0.6595355032048614,0.6435081017934414,0.059233449477351915,readmission,0,16,1,2,512,2e-05,val
0.7879969499881755,0.6025285763768617,0.2628447705370113,0.6585722610029611,0.6323946668302086,0.07665505226480836,readmission,1,16,1,2,512,2e-05,val
0.8874708654883817,0.589019743678559,0.2554329931181096,0.6366317441818983,0.6209994112933788,0.06620209059233449,readmission,2,16,1,2,512,2e-05,val
0.6693191584962154,0.618820069840103,0.2554329931181096,0.6898978602847985,0.6932734887886844,0.1482889733840304,readmission,0,16,1,2,512,2e-05,test_3days
0.6674315771014672,0.6290083867784904,0.2554329931181096,0.6915791997442591,0.7095158837978117,0.13503649635036497,readmission,0,16,1,2,512,2e-05,test_2days
0.6927421063349392,0.5171458261170766,0.3471543459313684,0.5776896457409235,0.5702688585935798,0,readmission,0,16,3,2,512,5e-05,val
0.6927690374258474,0.5171458261170766,0.34603857967394663,0.614465281659155,0.621850481005076,0.013937282229965157,readmission,1,16,3,2,512,5e-05,val
